animal_id,intake_date_time,intake_type,animal_type,age,gender,outcome_date_time,days_in_shelter,outcome_month,outcome_year,age_group,breed,is_mix_breed,colour,is_multicolour,is_black,is_white,is_brown,is_yellow,is_gray,outcome_type
64453,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,3,male,2019-10-04,44,10,2019,adolescent,domestic short hair,no,black and brown,no,yes,no,yes,no,no,adoption
64455,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,5,female,2019-10-04,44,10,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64456,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,3,female,2019-09-17,27,9,2019,adolescent,domestic short hair,no,black and brown,no,yes,no,yes,no,no,adoption
64457,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,3,female,2019-10-04,44,10,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64458,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,4,male,2019-09-24,34,9,2019,adulthood,domestic medium hair,no,black,no,yes,no,no,no,no,transfer
64459,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,5,female,2019-08-31,10,8,2019,adulthood,domestic medium hair,no,black and brown,no,yes,no,yes,no,no,adoption
64460,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,3,female,2019-09-11,21,9,2019,adolescent,domestic medium hair,no,black,no,yes,no,no,no,no,adoption
64461,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,4,female,2019-10-04,44,10,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64462,2019-08-20 15:51:00,moving,dog,4,male,2019-09-12,22,9,2019,adulthood,mastiff,no,black and white,no,yes,yes,no,no,no,adoption
64463,2019-08-20 15:51:00,moving,dog,4,male,2019-08-24,3,8,2019,adulthood,bully breed,yes,black and white,no,yes,yes,no,no,no,adoption
64465,2019-08-20 16:13:00,stray,dog,3,male,2019-08-28,7,8,2019,adolescent,labrador retriever/mix,yes,golden,no,no,no,no,yes,no,adoption
64468,2019-08-20 16:50:00,incompatible with owner lifestyle,dog,4,male,2019-08-24,3,8,2019,adulthood,chesapeake bay retriever/mix,yes,red,no,no,no,yes,no,no,adoption
64470,2019-08-20 18:33:00,stray,dog,14,female,2019-08-22,1,8,2019,super senior,labrador retriever,no,black,no,yes,no,no,no,no,reclaimed
64472,2019-08-21 12:03:00,unable to afford,cat,11,male,2019-08-31,9,8,2019,super senior,domestic short hair,yes,black,no,yes,no,no,no,no,adoption
64473,2019-08-21 12:10:00,stray,cat,2,female,2019-12-13,113,12,2019,adolescent,domestic short hair,no,buff,no,no,no,no,yes,no,adoption
64474,2019-08-21 12:16:00,unsuitable accommodation,cat,4,male,2019-10-04,43,10,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64475,2019-08-21 12:20:00,incompatible with owner lifestyle,dog,4,male,2019-08-30,8,8,2019,adulthood,rottweiler,no,brown,no,no,no,yes,no,no,adoption
